node,stopping_time,total_stopping_time,maximum_excursion,binary_length,parity_vector_length,in_degree,out_degree,distance_from_root,ancestor_count,branching_factor,level_set,umap_1,umap_2
5508,1,160,9232,13,160,1,1,160,2,1,160,3.406938,6.101347
5509,3,160,16528,13,160,1,1,160,2,1,160,5.728154,6.4537144
5510,1,160,12400,13,160,1,1,160,2,1,160,5.9922247,4.6680136
5511,11,129,37204,13,129,1,1,129,2,1,129,5.5498824,4.2160907
5512,1,129,9232,13,129,2,1,129,3,2,129,4.3399663,5.8019924
5513,3,98,31408,13,98,1,1,98,2,1,98,3.8516912,3.0022216
5514,1,129,9232,13,129,1,1,129,2,1,129,4.8155966,3.2883186
5515,8,160,24820,13,160,1,1,160,2,1,160,5.736587,6.0780396
5516,1,129,9232,13,129,1,1,129,2,1,129,4.2312765,7.1010017
5517,3,129,16552,13,129,1,1,129,2,1,129,3.5712306,4.0880976
5518,1,160,18628,13,160,2,1,160,3,2,160,4.545675,5.278118
5519,11,160,55888,13,160,1,1,-1,2,1,-1,4.424018,3.8940272
5520,1,129,9232,13,129,1,1,129,2,1,129,4.908068,4.9572716
5521,3,129,16564,13,129,1,1,129,2,1,129,4.6070876,5.053747
5522,1,129,13984,13,129,1,1,129,2,1,129,4.0701356,3.6050272
5523,6,129,24856,13,129,1,1,129,2,1,129,4.6641054,6.3077917
5524,1,129,9232,13,129,2,1,129,3,2,129,4.5371013,6.1424823
5525,3,129,16576,13,129,1,1,129,2,1,129,5.723106,5.185022
5526,1,41,12436,13,41,1,1,41,2,1,41,6.097468,4.368485
5527,8,41,37312,13,41,1,1,41,2,1,41,5.0269513,7.045179
5528,1,129,9232,13,129,1,1,129,2,1,129,4.9786367,4.2095222
5529,3,41,18664,13,41,1,1,41,2,1,41,5.775099,4.0957627
5530,1,129,9232,13,129,2,1,129,3,2,129,4.420198,6.5752754
5531,19,41,63016,13,41,1,1,-1,2,1,-1,5.231386,6.795048
5532,1,98,95956,13,98,1,1,-1,2,1,-1,5.895292,4.668294
5533,3,98,95956,13,98,1,1,-1,2,1,-1,5.682882,5.3459215
5534,1,98,95956,13,98,1,1,-1,2,1,-1,3.9560063,4.9657726
5535,44,129,359152,13,129,1,1,-1,2,1,-1,5.1935854,4.1169176
5536,1,36,5536,13,36,2,1,36,3,2,36,2.8191304,5.0624447
5537,3,67,16612,13,67,1,1,67,2,1,67,4.3481317,4.5626607
5538,1,67,8308,13,67,1,1,67,2,1,67,5.602987,4.236924
5539,6,67,24928,13,67,1,1,67,2,1,67,5.430092,3.1568434
5540,1,67,10528,13,67,1,1,67,2,1,67,3.7555249,4.355396
5541,3,67,16624,13,67,1,1,67,2,1,67,2.6823523,4.0172577
5542,1,67,12472,13,67,2,1,67,3,2,67,6.0551214,6.825493
5543,16,204,250504,13,204,1,1,-1,2,1,-1,4.4869404,7.125142
5544,1,36,5544,13,36,1,1,36,2,1,36,5.987592,3.9726582
5545,3,54,94768,13,54,1,1,-1,2,1,-1,3.1966,6.2325873
5546,1,36,8320,13,36,1,1,36,2,1,36,6.676934,4.187481
5547,8,54,24964,13,54,1,1,54,2,1,54,4.219237,4.3078947
5548,1,67,6244,13,67,2,1,67,3,2,67,5.014274,6.3434076
5549,3,67,16648,13,67,1,1,67,2,1,67,5.7226796,4.564511
5550,1,67,18736,13,67,1,1,67,2,1,67,3.367594,4.842915
5551,13,67,56212,13,67,1,1,-1,2,1,-1,2.4481776,5.271891
5552,1,129,9232,13,129,1,1,129,2,1,129,3.7727847,5.4424324
5553,3,129,16660,13,129,1,1,129,2,1,129,6.338476,3.8321989
5554,1,129,9376,13,129,2,1,129,3,2,129,3.8296728,5.7244477
5555,6,129,25000,13,129,1,1,129,2,1,129,6.308739,5.5652227
5556,1,129,9232,13,129,1,1,129,2,1,129,4.5388393,3.9175453
5557,3,129,16672,13,129,1,1,129,2,1,129,3.3415973,5.5327272
5558,1,160,26728,13,160,1,1,160,2,1,160,5.283404,3.7814906
