node,stopping_time,total_stopping_time,maximum_excursion,binary_length,parity_vector_length,in_degree,out_degree,distance_from_root,ancestor_count,branching_factor,ollivier_ricci,branching_entropy,ancestor_density_k2,local_potential,flow_energy
8562,1,127,14452,14,127,0,1,-1,1,0,1.0,0.0,1.0,0.6931471805599453,0.0
8563,6,127,38536,14,127,0,0,-1,1,0,0.0,0.0,1.0,0.0,0.0
8564,1,26,8564,14,26,0,1,26,1,0,0.6666666666666666,0.0,1.0,32.056926369312485,0.0
8565,3,26,25696,14,26,0,0,-1,1,0,0.0,0.0,1.0,0.0,0.0
8566,1,127,21688,14,127,1,1,-1,2,1,0.7333333333333334,0.0,0.6666666666666666,1.0986122886681098,1.206948960812582
8567,8,127,57832,14,127,0,0,-1,1,0,0.0,0.0,1.0,0.0,0.0
8568,1,171,10852,14,171,0,1,-1,1,0,0.8,0.0,1.0,10.057409634808385,0.0
8569,3,78,164752,14,78,0,0,-1,1,0,0.0,0.0,1.0,0.0,0.0
8570,1,171,12856,14,171,0,1,-1,1,0,1.0,0.0,1.0,0.6931471805599453,0.0
8571,13,171,43396,14,171,0,0,-1,1,0,0.0,0.0,1.0,0.0,0.0
8572,1,171,32560,14,171,1,1,-1,2,1,0.6666666666666666,0.0,0.6666666666666666,6.591673732008659,1.2069489608125827
8573,3,171,32560,14,171,0,0,-1,1,0,0.0,0.0,1.0,0.0,0.0
8574,1,127,97684,14,127,0,1,-1,1,0,1.0,0.0,1.0,0.6931471805599453,0.0
8575,19,127,293056,14,127,0,0,-1,1,0,0.0,0.0,1.0,0.0,0.0
8576,1,34,8576,14,34,0,1,34,1,0,0.6666666666666666,0.0,1.0,41.99655296846448,0.0
8577,3,65,25732,14,65,0,0,-1,1,0,0.0,0.0,1.0,0.0,0.0
8578,1,78,12868,14,78,1,1,-1,2,1,0.7333333333333334,0.0,0.6666666666666666,1.0986122886681098,1.206948960812582
8579,6,78,38608,14,78,0,0,-1,1,0,0.0,0.0,1.0,0.0,0.0
8580,1,78,8580,14,78,0,1,78,1,0,0.8,0.0,1.0,93.78767853928262,0.0
8581,3,78,25744,14,78,0,0,-1,1,0,0.0,0.0,1.0,0.0,0.0
8582,1,78,19312,14,78,0,1,-1,1,0,1.0,0.0,1.0,0.6931471805599453,0.0
8583,11,78,57940,14,78,0,0,-1,1,0,0.0,0.0,1.0,0.0,0.0
8584,1,26,8584,14,26,1,1,26,2,1,0.6666666666666666,0.0,0.6666666666666666,32.46239147742065,1.2069489608125767
8585,3,171,48904,14,171,0,0,-1,1,0,0.0,0.0,1.0,0.0,0.0
8586,1,26,12880,14,26,0,1,-1,1,0,1.0,0.0,1.0,0.6931471805599453,0.0
8587,8,127,38644,14,127,0,0,-1,1,0,0.0,0.0,1.0,0.0,0.0
8588,1,26,9664,14,26,0,1,26,1,0,0.6666666666666666,0.0,1.0,31.769244296860702,0.0
8589,3,26,25768,14,26,0,0,-1,1,0,0.0,0.0,1.0,0.0,0.0
8590,1,78,28996,14,78,1,1,-1,2,1,0.7333333333333334,0.0,0.6666666666666666,1.0986122886681098,1.206948960812582
8591,11,78,86992,14,78,0,0,-1,1,0,0.0,0.0,1.0,0.0,0.0
8592,1,26,8592,14,26,0,1,26,1,0,0.8,0.0,1.0,31.769244296860702,0.0
8593,3,26,25780,14,26,0,0,-1,1,0,0.0,0.0,1.0,0.0,0.0
8594,1,26,21760,14,26,0,1,-1,1,0,1.0,0.0,1.0,0.6931471805599453,0.0
8595,6,26,38680,14,26,0,0,-1,1,0,0.0,0.0,1.0,0.0,0.0
8596,1,26,8596,14,26,1,1,26,2,1,0.6666666666666666,0.0,0.6666666666666666,32.17470940496887,1.2069489608125767
8597,3,26,25792,14,26,0,0,-1,1,0,0.0,0.0,1.0,0.0,0.0
8598,1,65,19348,14,65,0,1,-1,1,0,1.0,0.0,1.0,0.6931471805599453,0.0
8599,8,65,58048,14,65,0,0,-1,1,0,0.0,0.0,1.0,0.0,0.0
8600,1,26,8600,14,26,0,1,26,1,0,0.6666666666666666,0.0,1.0,32.344608441764265,0.0
8601,3,65,29032,14,65,0,0,-1,1,0,0.0,0.0,1.0,0.0,0.0
8602,1,26,12904,14,26,1,1,-1,2,1,0.7333333333333334,0.0,0.6666666666666666,1.0986122886681098,1.206948960812582
8603,29,171,98008,14,171,0,0,-1,1,0,0.0,0.0,1.0,0.0,0.0
8604,1,109,176740,14,109,0,1,-1,1,0,0.8,0.0,1.0,6.1862086239004945,0.0
8605,3,109,176740,14,109,0,0,-1,1,0,0.0,0.0,1.0,0.0,0.0
8606,1,109,176740,14,109,0,1,-1,1,0,1.0,0.0,1.0,0.6931471805599453,0.0
8607,32,171,147076,14,171,0,0,-1,1,0,0.0,0.0,1.0,0.0,0.0
8608,1,34,8608,14,34,1,1,34,2,1,0.6666666666666666,0.0,0.6666666666666666,42.402018076572645,1.2069489608125767
8609,3,171,44224,14,171,0,0,-1,1,0,0.0,0.0,1.0,0.0,0.0
8610,1,78,39364,14,78,0,1,-1,1,0,1.0,0.0,1.0,0.6931471805599453,0.0
8611,6,78,39364,14,78,0,0,-1,1,0,0.0,0.0,1.0,0.0,0.0
8612,1,78,39364,14,78,0,1,-1,1,0,0.6666666666666666,0.0,1.0,10.057409634808385,0.0
8613,3,78,39364,14,78,0,0,-1,1,0,0.0,0.0,1.0,0.0,0.0
8614,1,78,39364,14,78,1,1,-1,2,1,0.7333333333333334,0.0,0.6666666666666666,1.0986122886681098,1.206948960812582
8615,16,78,65428,14,78,0,0,-1,1,0,0.0,0.0,1.0,0.0,0.0
8616,1,34,8616,14,34,0,1,34,1,0,0.8,0.0,1.0,41.7088708960127,0.0
8617,3,171,209680,14,171,0,0,-1,1,0,0.0,0.0,1.0,0.0,0.0
8618,1,34,12928,14,34,0,1,-1,1,0,1.0,0.0,1.0,0.6931471805599453,0.0
8619,8,140,95956,14,140,0,0,-1,1,0,0.0,0.0,1.0,0.0,0.0
8620,1,171,1276936,14,171,1,1,-1,2,1,0.6666666666666666,0.0,0.6666666666666666,20.873633484694086,1.2069489608125845
8621,3,171,1276936,14,171,0,0,-1,1,0,0.0,0.0,1.0,0.0,0.0
8622,1,171,1276936,14,171,0,1,-1,1,0,1.0,0.0,1.0,0.6931471805599453,0.0
8623,13,78,118096,14,78,0,0,-1,1,0,0.0,0.0,1.0,0.0,0.0
8624,1,52,9232,14,52,0,1,52,1,0,0.6666666666666666,0.0,1.0,63.49766659920109,0.0
8625,3,52,25876,14,52,0,0,-1,1,0,0.0,0.0,1.0,0.0,0.0
8626,1,52,14560,14,52,1,1,-1,2,1,0.7333333333333334,0.0,0.6666666666666666,1.0986122886681098,1.206948960812582
8627,6,52,38824,14,52,0,0,-1,1,0,0.0,0.0,1.0,0.0,0.0
8628,1,52,9232,14,52,0,1,52,1,0,0.8,0.0,1.0,62.92230245429753,0.0
8629,3,52,25888,14,52,0,0,-1,1,0,0.0,0.0,1.0,0.0,0.0
8630,1,127,32776,14,127,0,1,-1,1,0,1.0,0.0,1.0,0.6931471805599453,0.0
8631,8,127,58264,14,127,0,0,-1,1,0,0.0,0.0,1.0,0.0,0.0
8632,1,52,9232,14,52,1,1,52,2,1,0.6666666666666666,0.0,0.6666666666666666,63.61544963485747,1.2069489608125767
8633,3,52,29140,14,52,0,0,-1,1,0,0.0,0.0,1.0,0.0,0.0
8634,1,52,12952,14,52,0,1,-1,1,0,1.0,0.0,1.0,0.6931471805599453,0.0
8635,11,171,43720,14,171,0,0,-1,1,0,0.0,0.0,1.0,0.0,0.0
8636,1,127,41524,14,127,0,1,-1,1,0,0.6666666666666666,0.0,1.0,6.473890696352275,0.0
8637,3,127,41524,14,127,0,0,-1,1,0,0.0,0.0,1.0,0.0,0.0
8638,1,127,65608,14,127,1,1,-1,2,1,0.7333333333333334,0.0,0.6666666666666666,1.0986122886681098,1.206948960812582
8639,55,109,897856,14,109,0,0,-1,1,0,0.0,0.0,1.0,0.0,0.0
8640,1,47,8640,14,47,0,1,47,1,0,0.8,0.0,1.0,56.85387686605343,0.0
8641,3,171,27700,14,171,0,0,-1,1,0,0.0,0.0,1.0,0.0,0.0
8642,1,171,83104,14,171,0,1,-1,1,0,1.0,0.0,1.0,0.6931471805599453,0.0
8643,6,171,83104,14,171,0,0,-1,1,0,0.0,0.0,1.0,0.0,0.0
8644,1,34,8644,14,34,1,1,34,2,1,0.6666666666666666,0.0,0.6666666666666666,41.826653931669085,1.2069489608125612
8645,3,34,25936,14,34,0,0,-1,1,0,0.0,0.0,1.0,0.0,0.0
8646,1,34,19456,14,34,0,1,-1,1,0,1.0,0.0,1.0,0.6931471805599453,0.0
8647,13,52,58372,14,52,0,0,-1,1,0,0.0,0.0,1.0,0.0,0.0
8648,1,140,9232,14,140,0,1,140,1,0,0.6666666666666666,0.0,1.0,170.53210261025885,0.0
8649,3,52,43792,14,52,0,0,-1,1,0,0.0,0.0,1.0,0.0,0.0
8650,1,140,12976,14,140,1,1,-1,2,1,0.7333333333333334,0.0,0.6666666666666666,1.0986122886681098,1.206948960812582
8651,8,52,38932,14,52,0,0,-1,1,0,0.0,0.0,1.0,0.0,0.0
8652,1,140,9736,14,140,0,1,140,1,0,0.8,0.0,1.0,169.95673846535527,0.0
8653,3,140,25960,14,140,0,0,-1,1,0,0.0,0.0,1.0,0.0,0.0
8654,1,171,49300,14,171,0,1,-1,1,0,1.0,0.0,1.0,0.6931471805599453,0.0
8655,19,171,87640,14,171,0,0,-1,1,0,0.0,0.0,1.0,0.0,0.0
8656,1,47,8656,14,47,1,1,47,2,1,0.6666666666666666,0.0,0.6666666666666666,57.83470611906516,1.2069489608125767
8657,3,140,25972,14,140,0,0,-1,1,0,0.0,0.0,1.0,0.0,0.0
8658,1,52,32884,14,52,0,1,-1,1,0,1.0,0.0,1.0,0.6931471805599453,0.0
8659,6,52,38968,14,52,0,0,-1,1,0,0.0,0.0,1.0,0.0,0.0
8660,1,47,8660,14,47,0,1,47,1,0,0.6666666666666666,0.0,1.0,57.42924101095699,0.0
8661,3,47,25984,14,47,0,0,-1,1,0,0.0,0.0,1.0,0.0,0.0
8662,1,127,24676,14,127,1,1,-1,2,1,0.7333333333333334,0.0,0.6666666666666666,1.0986122886681098,1.206948960812582
8663,8,127,58480,14,127,0,0,-1,1,0,0.0,0.0,1.0,0.0,0.0
8664,1,140,9232,14,140,0,1,140,1,0,0.8,0.0,1.0,170.24442053780706,0.0
8665,3,140,29248,14,140,0,0,-1,1,0,0.0,0.0,1.0,0.0,0.0
8666,1,140,13000,14,140,0,1,-1,1,0,1.0,0.0,1.0,0.6931471805599453,0.0
8667,13,127,65824,14,127,0,0,-1,1,0,0.0,0.0,1.0,0.0,0.0
