node,in_degree_centrality,out_degree_centrality,betweenness_centrality,closeness_centrality,pagerank
119,1.000010000100001e-05,1.000010000100001e-05,3.867264845296906e-06,0.00047436369232278054,0.00013802334207137373
120,1.000010000100001e-05,1.000010000100001e-05,0.0,1.800018000180002e-05,1.3394362778401895e-05
121,1.000010000100001e-05,1.000010000100001e-05,6.123169338386768e-05,0.0016797121339281096,0.00014485659023567136
122,1.000010000100001e-05,1.000010000100001e-05,2.734429688593772e-05,0.0016156953434207622,9.39259757068619e-05
123,1.000010000100001e-05,1.000010000100001e-05,0.0,1.800018000180002e-05,1.3394362778401895e-05
124,2.000020000200002e-05,1.000010000100001e-05,2.5313006260125203e-05,0.0009703820783545793,0.00018029808124931995
125,1.000010000100001e-05,1.000010000100001e-05,3.586009220184404e-05,0.0009438106980003738,0.00017160208913064915
126,1.000010000100001e-05,1.000010000100001e-05,0.0,1.800018000180002e-05,1.3394362778401895e-05
127,1.000010000100001e-05,1.000010000100001e-05,3.593821876437529e-06,0.0002743425406276859,9.308901273532553e-05
128,1.000010000100001e-05,1.000010000100001e-05,1.9141007820156406e-06,0.0006795980724161592,0.0001564098868743017
129,1.000010000100001e-05,1.000010000100001e-05,0.0,1.800018000180002e-05,1.3394362778401895e-05
130,2.000020000200002e-05,1.000010000100001e-05,1.5859692193843878e-05,0.0010830903122678282,0.00019234705246689652
131,1.000010000100001e-05,1.000010000100001e-05,2.734429688593772e-06,0.00027832346272847373,8.558841756929924e-05
132,1.000010000100001e-05,1.000010000100001e-05,0.0,1.800018000180002e-05,1.3394362778401895e-05
133,1.000010000100001e-05,1.000010000100001e-05,1.0937718754375088e-06,0.00014345727982090589,5.8573131296407e-05
134,1.000010000100001e-05,1.000010000100001e-05,9.84394687893758e-06,0.0007708234757154888,0.00014725009274980981
135,1.000010000100001e-05,1.000010000100001e-05,0.0,1.800018000180002e-05,1.3394362778401895e-05
136,2.000020000200002e-05,1.000010000100001e-05,1.757847656953139e-06,0.0003009014886030579,0.00010898698129642258
137,1.000010000100001e-05,1.000010000100001e-05,8.965023050461009e-05,0.002265458817930771,0.00018401769854723213
138,1.000010000100001e-05,1.000010000100001e-05,0.0,1.800018000180002e-05,1.3394362778401895e-05
139,1.000010000100001e-05,1.000010000100001e-05,8.007972659453189e-07,0.00019505880832769803,8.022461468752466e-05
140,1.000010000100001e-05,1.000010000100001e-05,2.929746094921899e-07,0.00022142939797405747,8.761826031300467e-05
